cell,treatment,amplitude,AUC,DA_responsive
03022023a,control,238.48,344,Non-responsive
03022023a,dopamine,225.14,319,Non-responsive
03022023a,SCH39166,228.2,342,Non-responsive
03072023a,control,143.17,399,Non-responsive
03072023a,dopamine,143.11,407,Non-responsive
03072023a,SCH39166,148.42,415,Non-responsive
03282023a,control,230.92,530,Non-responsive
03282023a,dopamine,250.84,590,Non-responsive
03282023a,SCH39166,258.75,580,Non-responsive
03282023c,control,270.92,678,Non-responsive
03282023c,dopamine,270.84,682,Non-responsive
03282023c,SCH39166,250.41,650,Non-responsive
03292023c,control,204.31,315,Non-responsive
03292023c,dopamine,207.47,335,Non-responsive
03292023c,SCH39166,212.61,320,Non-responsive
03022023c,control,531.63,605,Responsive
03022023c,dopamine,628.89,911,Responsive
03022023c,SCH39166,548.47,765,Responsive
03032023d,control,257.8,717,Responsive
03032023d,dopamine,296.78,721,Responsive
03032023d,SCH39166,241.08,504,Responsive
03072023b,control,223.52,561,Responsive
03072023b,dopamine,405.77,1010,Responsive
03072023b,SCH39166,301.83,737,Responsive
03282023b,control,231.86,523,Responsive
03282023b,dopamine,289.94,732,Responsive
03282023b,SCH39166,256.97,614,Responsive
03292023a,control,411.74,926,Responsive
03292023a,dopamine,471.46,953,Responsive
03292023a,SCH39166,336.22,660,Responsive
06292023c,control,328.38,1150,Responsive
06292023c,dopamine,413.8,1300,Responsive
06292023c,SCH39166,312.06,1020,Responsive
06292023a,control,293.32,898,Responsive
06292023a,dopamine,333.25,907,Responsive
06292023a,SCH39166,298.71,830,Responsive
