cell,treatment,amplitude,washout
05092023a,control,219.24,YES
05092023a,DAMGO,228.68,YES
05092023a,NLX,227.68,YES
05092023b,control,202.56,YES
05092023b,DAMGO,221.91,YES
05092023b,NLX,227.49,YES
05092023c,control,563.1,YES
05092023c,DAMGO,524.76,YES
05092023c,NLX,529.81,YES
05022023a,control,115.89,YES
05022023a,DAMGO,103.25,YES
05022023a,NLX,97.46,YES
05022023b,control,156.65,YES
05022023b,DAMGO,173.53,YES
05022023b,NLX,143.82,YES
05022023c,control,137.99,YES
05022023c,DAMGO,142.05,YES
05022023c,NLX,142.86,YES
04262023a,control,216.65,YES
04262023a,DAMGO,196.35,YES
04262023a,NLX,221.9,YES
04262023b,control,711.8,NO
04262023b,DAMGO,697.93,NO
