cell,treatment,amplitude,DA_responsive
05102023a,control,284.7,Responsive
05102023a,SKF38393,340.78,Responsive
05312023c,control,225.1,Responsive
05312023c,SKF38393,293.3,Responsive
05312023c,SCH39166,242.8,Responsive
06082023b,control,515,Responsive
06082023b,SKF38393,582.5,Responsive
06082023b,SCH39166,512.1,Responsive
06132023b,control,128.3,Responsive
06132023b,SKF38393,165.9,Responsive
06132023b,SCH39166,124.4,Responsive
06132023d,control,189.8,Responsive
06132023d,SKF38393,279.8,Responsive
06132023d,SCH39166,213.1,Responsive
06162023a,control,301,Responsive
06162023a,SKF38393,350.1,Responsive
06162023a,SCH39166,299.1,Responsive
05312023a,control,227.1,Non-responsive
05312023a,SKF38393,234,Non-responsive
05312023a,SCH39166,224.5,Non-responsive
06012023a,control,65.7,Responsive
06012023a,SKF38393,75.7,Responsive
06012023a,SCH39166,68.5,Responsive
06012023b,control,272,Non-responsive
06012023b,SKF38393,255,Non-responsive
06012023b,SCH39166,214,Non-responsive
06082023a,control,288.4,Non-responsive
06082023a,SKF38393,274.4,Non-responsive
06082023a,SCH39166,299.4,Non-responsive
06062023a,control,145.98,Responsive
06062023a,SKF38393,173.87,Responsive
06062023a,SCH39166,133.19,Responsive
06132023a,control,245.9,Non-responsive
06132023a,SKF38393,246.3,Non-responsive
06132023a,SCH39166,281,Non-responsive
06272023a,control,313.8,Non-responsive
06272023a,SKF38393,295.9,Non-responsive
06272023a,SCH39166,294.5,Non-responsive
06282023b,control,444.5,Non-responsive
06282023b,SKF38393,437.8,Non-responsive
06282023b,SCH39166,446.5,Non-responsive
